TIME_UTC,TIME_OBT,AOCS_ANGULAR_RATE_X,AOCS_ANGULAR_RATE_Y,AOCS_ANGULAR_RATE_Z
2024-10-22T10:26:47.373Z,1/0794312805:01747,-1.437124999987716e-06,+1.948731451470701e-06,+2.810949159211621e-07
2024-10-22T10:26:57.373Z,1/0794312815:01749,-1.436479554982943e-06,+1.980307291083259e-07,-1.467694116942413e-06
2024-10-22T10:27:07.373Z,1/0794312825:01745,+3.152528088752595e-07,+2.035689985724671e-07,+3.774450578756690e-06
2024-10-22T10:27:17.373Z,1/0794312835:01744,-1.301830056970850e-06,+1.976305543174078e-07,-1.333059785064788e-06
2024-10-22T10:27:27.373Z,1/0794312845:01742,+3.139950491962272e-07,+1.815379311457533e-06,+1.892688989588135e-06
2024-10-22T10:27:37.373Z,1/0794312855:01744,+3.134350695151750e-07,+1.985499428204445e-07,+2.784708170339248e-07
2024-10-22T10:27:47.373Z,1/0794312865:01744,+3.148737663723250e-07,-1.413267859871743e-06,+1.891441003641899e-06
2024-10-22T10:27:57.373Z,1/0794312875:01746,+3.149199130622078e-07,+2.031532212389590e-07,+3.505216765070124e-06
2024-10-22T10:28:07.373Z,1/0794312885:01745,-1.302495603314494e-06,+1.979137973072193e-07,-1.333169240301697e-06
2024-10-22T10:28:17.373Z,1/0794312895:01746,-1.302555685883098e-06,+1.979469951126931e-07,-1.333401242286635e-06
2024-10-22T10:28:27.373Z,1/0794312905:01745,+3.136803039407597e-07,-1.417280205670084e-06,-1.336151245688665e-06
2024-10-22T10:28:37.373Z,1/0794312915:01747,-1.437325740569674e-06,+1.974068550240919e-07,-1.468073749906230e-06
2024-10-22T10:28:47.373Z,1/0794312925:01744,+3.141293853583301e-07,+2.032653664100713e-07,+3.773800502130741e-06
2024-10-22T10:29:17.373Z,1/0794312955:01746,-1.438781566332591e-06,+1.932072144365047e-07,-4.963959816728535e-06
2024-10-22T10:29:27.373Z,1/0794312965:01742,-1.437495782385088e-06,+2.023322345828974e-07,+2.028962688653174e-06
2024-10-22T10:29:37.373Z,1/0794312975:01745,+3.130528379653029e-07,-1.551922739604395e-06,-1.470727481979453e-06
2024-10-22T10:29:47.373Z,1/0794312985:01739,+3.127849974209724e-07,+1.984669750370428e-07,+2.777432315186754e-07
2024-10-22T10:29:57.373Z,1/0794312995:01744,+1.929359801204404e-06,-1.416235229105724e-06,+2.750285030190197e-07
2024-10-22T10:30:07.373Z,1/0794313005:01747,-1.303253856556425e-06,+1.813700469647654e-06,+2.800490706319854e-07
2024-10-22T10:30:17.373Z,1/0794313015:01744,+3.136853936326641e-07,+2.035711550935294e-07,+3.504731009613843e-06
2024-10-22T10:30:27.373Z,1/0794313025:01742,-1.303526215809962e-06,+1.976763615867690e-07,-1.333873789819396e-06
2024-10-22T10:30:37.373Z,1/0794313035:01745,+3.544821577826918e-06,+2.015964141399794e-07,+3.500883335765030e-06
2024-10-22T10:30:47.373Z,1/0794313045:01746,+3.112616501952541e-07,+1.811287351987053e-06,-1.334973970784605e-06
2024-10-22T10:30:57.373Z,1/0794313055:01749,+3.113633546935078e-07,+1.949324905317080e-07,-2.949510976173873e-06
2024-10-22T10:31:07.373Z,1/0794313065:01742,+1.928593718425714e-06,-1.415761166540935e-06,+2.748732740199865e-07
2024-10-22T10:31:17.373Z,1/0794313075:01747,-1.438699833865607e-06,+1.974955173417728e-07,-1.468743377206326e-06
2024-10-22T10:31:27.373Z,1/0794313085:01742,+3.813951884190038e-06,+2.021157219654564e-07,+3.769017045862212e-06
2024-10-22T10:31:37.373Z,1/0794313095:01747,+3.122416897928475e-07,+1.992760038804225e-07,+2.779309803933821e-07
2024-10-22T10:31:47.373Z,1/0794313105:01744,-1.437440534195206e-06,-1.549157129535720e-06,+2.791719818136678e-07
2024-10-22T10:31:57.373Z,1/0794313115:01746,+3.119472555275159e-07,+1.994457274210881e-07,+2.776231292234255e-07
2024-10-22T10:32:07.373Z,1/0794313125:01748,+3.116008038031917e-07,+1.992939451586554e-07,+2.779079702323549e-07
2024-10-22T10:32:17.373Z,1/0794313135:01745,+3.108238042772976e-07,+1.955819096196378e-07,-3.217828484420474e-06
2024-10-22T10:32:27.373Z,1/0794313145:01744,+3.119073242618661e-07,-1.551145123876534e-06,-1.470342328368395e-06
2024-10-22T10:32:37.373Z,1/0794313155:01743,-1.305060303043686e-06,+1.979562558575848e-07,-1.333234045267957e-06
2024-10-22T10:32:47.373Z,1/0794313165:01744,+3.124068044008368e-07,+2.035205623508860e-07,+3.505195515697074e-06
2024-10-22T10:32:57.373Z,1/0794313175:01746,+3.126510161681147e-07,+2.036434731239359e-07,+3.505849566361314e-06
